Provincia,Trimestre,Año,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Total,Porcent_Altas_vel
Chubut,2,2019,10049,1495,74000,165,229193,37.39599376944322
Entre Ríos,1,2016,35104,14057,457000,165,631076,80.23217488860296
Misiones,1,2017,23847,19356,2627,166,97621,47.11691132031018
Corrientes,1,2016,18375,7911,526000,170,639979,86.32408250895732
Neuquén,1,2016,479000,7893,143000,171,719831,87.52943399214537
Neuquén,4,2015,455000,7934,9000,175,565575,83.47416346196349
La Pampa,2,2018,2409,965000,969000,179,2955468,65.525595269514
Salta,2,2018,33285,28431,7239,182,250890,27.55669815456973
Chaco,1,2016,19388,10587,1238,184,280456,11.194982457141228
Corrientes,2,2016,19200,8851,803000,191,930176,89.36394832805836
Río Negro,1,2017,246000,6738,1594,200,1335801,19.054634634949366
Chaco,2,2016,20346,12090,1571,201,285094,11.998849502269426
Entre Ríos,2,2016,36917,15522,849000,205,1037745,86.88492837835885
Neuquén,2,2016,583000,10241,1285,208,687195,86.54515821564476
Corrientes,3,2016,19956,10006,1263,210,103331,30.42165468252509
La Pampa,3,2018,3153,920000,1189,216,1941482,47.62125015838416
Chaco,3,2016,21193,13746,2021,217,279225,13.314352224908227
Neuquén,3,2016,680000,12541,2118,225,785346,88.48125539571093
Tierra Del Fuego,3,2019,4692,1756,82000,226,150455,58.93722375461101
Mendoza,2,2019,2971,10092,1256,234,242240,6.007678335535006
Corrientes,4,2016,20187,10908,1645,234,103078,31.989367275267274
Entre Ríos,3,2016,38665,17737,1307,248,181226,31.980510522772672
Chaco,4,2016,21323,14887,2586,250,279663,13.96180402841992
Santiago Del Estero,3,2018,19116,3806,64000,265,190997,45.64836096902046
La Pampa,4,2018,3661,978000,1328,270,2225494,44.18160642086656
Neuquén,4,2016,792000,14153,3073,271,897301,90.2146548371171
San Juan,4,2020,740000,5126,332000,275,1362305,79.08662157152767
San Juan,1,2021,858000,11494,340000,276,1493850,80.98336513036784
San Juan,3,2021,752000,13250,338000,278,1519042,72.64631261018457
San Juan,2,2021,784000,12550,340000,278,1552458,73.22761710783801
Entre Ríos,4,2016,38491,19509,1801,280,180310,33.32094725750097
Corrientes,1,2017,20586,11468,2044,303,103590,33.20880393860411
Chaco,1,2017,21467,15671,3025,314,279856,14.463509805042593
Entre Ríos,1,2017,39146,20562,2254,317,180418,34.51928299837045
La Rioja,3,2018,4138,5425,20000,339,80840,36.98911429985156
Mendoza,3,2019,2958,10093,1263,349,243753,6.015515706473356
La Pampa,1,2019,4466,1061,1354,405,1020151,0.714207994698824
Neuquén,1,2017,902000,15130,4223,458,1008589,91.39609890649214
Formosa,3,2017,5187,6056,899000,459,929233,98.00577465501118
Santiago Del Estero,4,2018,20127,3686,77000,483,530893,19.080304317442497
Santiago Del Estero,1,2019,20691,3959,85000,494,215411,51.13202204158562
Salta,3,2018,32782,25582,9224,502,249606,27.278991690904864
Tierra Del Fuego,1,2020,5024,1834,196000,518,245398,82.87598105934035
Chaco,2,2017,22349,18044,3157,545,281418,15.668862688243113
Río Negro,2,2017,245000,7990,1921,559,1322161,19.322155168697307
Misiones,2,2017,22033,21599,2892,570,99795,47.19074101908913
Córdoba,1,2014,24112,9818,40000,588,607413,12.268094360838507
Chubut,4,2019,12945,7615,1240,614,257940,8.68961774055982
Chubut,1,2020,12957,7756,1240,614,363653,6.205641091920045
Chubut,3,2019,13033,7171,1240,614,1003238,2.1986806719841154
Chubut,2,2020,22188,10537,1473,614,375389,9.273580206132838
Jujuy,3,2018,7756,4066,39000,623,428513,12.005470079087448
Córdoba,2,2014,28698,14824,76000,627,653388,18.388614422058563
La Pampa,2,2019,5191,1366,1445,629,325987,2.6476515934684515
Santa Cruz,4,2020,4382,6634,1033,647,844869,1.502718172876505
Santa Cruz,1,2021,8334,6987,1337,647,96015,18.023225537676403
Corrientes,2,2017,21776,13043,2218,647,105079,35.86254151638291
Tucumán,3,2017,45302,20514,1361,655,268850,25.23042588804166
Córdoba,3,2014,28992,18888,84000,664,1327228,9.986528313145895
Santa Fe,1,2014,20328,6845,23000,668,528990,9.610956728860659
Santa Cruz,2,2021,8463,6888,1575,676,833197,2.1125856190072696
